ID,Instances of works,Abstract Title,Instance Title,Generic Descriptor,Number of parts,Voice in the Polyphony,Primary Language,Secondary Language,Style of discourse,Number of stanzas,Number of envois,Date,Authors,Author commentary,L Index,MW Index,RS Index,T Index (Motets),T Index (Songs),Lu Index,M Index,vdB Index (Rondeaux),Host work ID,Host Work Instance,Host Work Location,Other data,Edition,Manuscript Collocation
M 418,1,Quant voi la rose espanir,Qant uoi la rose espanir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1296, 1",,112-2,,,418,,Li 265-1496,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 220 v"
M 418,2,Quant voi la rose espanir,Qant uoi la rose espanir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1296, 1",,112-2,,,418,,Li 265-1496,2,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 241 v"
M 419,1,Li plusor se plaignent d'Amours,Li plusor se plaignent d'amors,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"39, 1",,183-1,,,419,,Li 265-1077,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 236 r"
M 419,2,Li plusor se plaignent d'Amours,Li pluiseur se plaignent d'amors,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"39, 1",,183-1,,,419,,Li 265-1077,2,,,,"F-MO H 196, fol. 239 r"
M 420,1,Mellea Vite vinea,Mellea uite uinea,,,Duplum,Latin,,,,,,Anonyme,,,,,183-2,,,420,,Li 265-1077a,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 190 r"
M 420,2,Mellea Vite vinea,,,,Duplum,,,,,,,Anonyme,,,,,183-2,,,420,,Li 265-1077b,1,,,,"I-Fl Plut. 29. 1, fol. 165 v"
M 423,1,Quant la verdour,Qant la uerdor,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"281, 1",,193,,,423,,Li 265-1449,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 243 v"
M 424,1,En tel lieu s'est entremis,,,,Duplum,,,,,,,Anonyme,,,"622, 1",,291-1,,,424,,Li 265-1263a,1,,Incipit marginal : En tel lieu s'est entremis,,"F-Pn lat. 15139, fol. 292 v"
M 424,2,En tel lieu s'est entremis,En tel lieu s'est entremis,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"622, 1",,291-1,,,424,,Li 265-1263a,2,,,,"F-Pn fr. 844, fol. 208 rb"
M 424,3,En tel lieu s'est entremis,En tel lieu s'est entremis,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"622, 1",,291-1,,,424,,Li 265-1263a,3,,,,"F-Pn fr. 12615, fol. 188 r"
M 424,4,En tel lieu s'est entremis,En tel lieu s'est entremis,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"622, 1",,291-1,,,424,,Li 265-1263,1,,,,"F-MO H 196, fol. 141 r"
M 424,5,En tel lieu s'est entremis,En tel liu s'est entremis,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"622, 1",,291-1,,,424,,Li 265-1263,2,,,,"F-MO H 196, fol. 173 r"
M 425,1,Onques ne se parti,Onques ne se parti,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"624, 1",,291-2,,,425,,Li 265-1263,1,,,,"F-MO H 196, fol. 140 v"
M 425,2,Onques ne se parti,Onques ne se repenti,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"624, 1",,291-2,,,425,,Li 265-1263,2,,,,"F-MO H 196, fol. 172 v"
M 428,1,Or voi je bien que il mi,[…] qui lonc tans,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"460, 1",,,,,428,,Li 265-1287,1,,,,"F-MO H 196, fol. 304 (303) ra"
M 428,2,Or voi je bien que il mi,Or uoi je bien que il mi,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"460, 1",,,,,428,,Li 265-1287,2,,,,"D-BAs Lit. 115, fol. 16 va"
M 428,3,Or voi je bien que il mi,,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"460, 1",,,,,428,,Li 265-1287,3,,,,"[F-B I 716], n° 3"
M 428,4,Or voi je bien que il mi,Or uoi ie bien k'il me,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"460, 1",,,,,428,,Li 265-1287,4,,,,"I-Tr Vari 42, fol. 1 ra"
M 432,1,A tous jours sans remanoir,A tous iours sans remanoir,,,Duplum,Latin,,,,,,Chaillou de Pesstain?,M 432 cité dans le roman de Fauvel,,"548, 1",,,,,432,,Li 265-147a,1,,,,"F-Dm 525, fol. 108 (114) rb"
M 433,1,Cele m'a la mort donee,Cele m'a la mort dounee,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,168,,,433,,Li 265-289,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 227 v"
M 433,2,Cele m'a s'amour donee,Cele m'a s'amour dounee,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,168,,,433,,Li 265-289,2,,,,"F-Pn fr. 12615, fol. 195 r"
M 434,1,Mieus aim morir des Maus,Meuz aim mourir des maus ,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,169,,,434,,Li 265-1157,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 228 v"
M 434,2,Mieus voil sentir les Maus,Mieuz vueill sentir les maus,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,169,,,434,,Li 265-1157,2,,,,"F-Pn fr. 844, fol. 209 vb"
M 434,3,Mieus voil sentir les Maus,Miex voil sentir les maus,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,169,,,434,,Li 265-1157,3,,,,"F-Pn fr. 12615, fol. 191 r"
M 435,1,Renvoisiement i vois a mon ami,Renuoisiement i vois a mon ami,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,309,,,435,,Li 265-1545,1,,,,"F-Pn fr. 844, fol. 209 vb"
M 435,2,Renvoisiement i vois a mon ami,Renuoisiement i vois a mon ami,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,309,,,435,,Li 265-1545,2,,,,"F-Pn fr. 12615, fol. 191 v"
M 436,1,J'ai fait ami a mon chois,J'ai fait ami a mon chois,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"381, 8",,,,,436,,Li 265-808,1,,,,"F-Pn fr. 844, fol. 210 ra"
M 436,2,J'ai fait ami a mon chois,J'ai fait ami a mon cois,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"381, 8",,,,,436,,Li 265-808,2,,,,"F-Pn fr. 12615, fol. 191 v"
M 438,1,Quant repaire la verdor,Qvant repaire la uerdor,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"1134, 1",,29-2,,,438,,Li 265-1477,1,,,,"F-MO H 196, fol. 78 v"
M 445,1,Nus ne sait mes maus s'il n'aime,Nvs ne sait les maus s'il n'ainme,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1451, 1",,288,,,445,,Li 265-1228,1,,,,"F-Pn fr. 844, fol. 207 vb"
M 445,2,Nus ne sait mes maus s'il n'aime,Nvs ne sait mes maus s'il n'aime,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1451, 1",,288,,,445,,Li 265-1228,2,,,,"F-Pn fr. 12615, fol. 187 v"
M 446,1,Dusque je ai plus Amours honoree,,,,Duplum,,,,,,,Anonyme,,,,,295,,,446,,Li 265-573,1,,,,"F-Pn lat. 15139, fol. 292 r"
M 446,2,Dusque je ai plus Amours honoree,Dvskes chi ai plus amors honouree,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"741, 1",,295,,,446,,Li 265-573,2,,,,"F-Pn fr. 12615, fol. 189 r"
