Ref Number,NOTE FROM ANNE,NOTE FROM ADAM,Linker Number,Abstract Master Text,Occurance Number,Occurance Type,Parent Work,Parent Index Blob,Parent Date,Parent vdB Index (rondeaux),Parent RS Index,Parent L Index,Parent T Index (songs),Parent T Index (motets),Parent MW Index,Parent Lu Index,Refrain Location,Parent Generic Descriptor,Parent Work Author,Host Work,Host Work Date,Host Work Generic Descriptor,Host Work Author,Singer,Destinataire,Circonstances,Fonction,Marque de chant précédant le refrain,Marque de chant suivant le refrain,Marque de discours,Manuscript Number,Image File,Manuscript Collocation,Reading,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain motetus),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1; refrain interne 2),Derived Reading Text (st. 1; refrain final),Derived Reading Text (st. 2; refrain interne),Derived Reading Text (st. 2; refrain interne 2),Derived Reading Text (st. 2; refrain final),Derived Reading Text (st. 3; refrain interne),Derived Reading Text (st. 3; refrain interne 2),Derived Reading Text (st. 3; refrain final),Derived Reading Text (st. 4; refrain interne),Derived Reading Text (st. 4; refrain interne 2),Derived Reading Text (st. 4; refrain final),Derived Reading Text (st. 5; refrain interne),Derived Reading Text (st. 5; refrain interne 2),Derived Reading Text (st. 5; refrain final),Derived Reading Text (st. 6; refrain interne),Derived Reading Text (st. 6; refrain interne 2),Derived Reading Text (st. 6; refrain final),Derived Reading Text (st. 7; refrain interne),Derived Reading Text (st. 7; refrain interne 2),Derived Reading Text (st. 7; refrain final),Derived Reading Text (st. 8; refrain interne),Derived Reading Text (st. 8; refrain interne 2),Derived Reading Text (st. 8; refrain final),Derived Reading Text (st. 9; refrain interne),Derived Reading Text (st. 9; refrain interne 2),Derived Reading Text (st. 9; refrain final),Derived Reading Text (st. 10; refrain final),Derived Reading Text (st. 11; refrain final),Derived Reading Text (st. 12; refrain final),Derived Reading Text (st. 13; refrain final),Derived Reading Text (st. 14; refrain final),Derived Reading Text (st. 15; refrain final),Derived Reading Text (st. 16; refrain final),Derived Reading Text (st. 17; refrain final),Derived Reading Text (st. 18; refrain final),Derived Reading Text (st. 19; refrain final),Derived Reading Text (st. 20; refrain final),Derived Reading Text (st. 21; refrain final),Derived Reading Text (st. 22; refrain final),Derived Reading Text (st. 23; refrain final),Derived Reading Text (st. 24; refrain final),Derived Reading Text (st. 25; refrain final),Derived Reading Text (Envoi 1; refrain final),Derived Reading Text (Envoi 2; refrain final),Métrique,Other Manuscript Data,,,,,,,,,,,,
392,,,,"Dame, amer ne porroie nule autre que je voie.",1,lyrique (monodie),Dame ains que je voise en ma contree,"RS: 503 V   L: 185-7   T: 292   MW: 193, 1   ",,,503 V,185-7,292,,"193, 1",,Fin de strophe,Chanson avec des refrains,Moniot d'Arras,,,,,,,,,,,,1,,"F-Pn fr. 844, fol. 120 (112) vb",Dame]dame; porroie]porroie.; que je voie]que ie voie,dame amer ne porroie. nule autre que ie voie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'6A'6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"F-Pn fr. 12615, fol. 120 r",Dame]dame; que je voie]ke ie voie.,dame amer ne porroie nule autre ke ie voie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'6A'6,,,,,,,,,,,,,
393,,,,"Dame, a vostre greit vos servirai et quant il vos plairait, joie avrai.",1,lyrique (monodie),Bien voi k'Amours me voit mais mestroier,"RS: 1292 II   L: 265-264   MW: 997, 1   ",,,1292 II,265-264,,,"997, 1",,Fin de strophe,Chanson avec des refrains,?,,,,,,,,,,,,1,,"CH-BEb 389, fol. 35 r",,dame a uostre greit uos servirai. et quant il uos plairait ioie aurai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A9A9,,,,,,,,,,,,,
394,,,265-394,"Dame, a vous me sui donné.",1,littéraire,Dit « Amour   dont tele est la puissance… » v. 310,Ca 1316   ,Ca 1316,,,,,,,,,Dit enté,Chaillou de Pesstain,Fauvel insertion 18,Ca 1316,Roman,Chaillou de Pesstain,Fauvel,,,,,,,1,1_files/image1310.png,"F-Pn fr. 146, fol. 25 rb",,Dame a vous me sui donné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7,,,,,,,,,,,,,
395,,,,"Dame, a vous servir m'otroi tout mon vivant.",1,littéraire,Renart le Nouvel   v. 6920,Ca 1289   ,Ca 1289,,,,,,,,,Roman,Jaquemart Gielée,,,,,Grimbert le blaireau,Sa femme,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Chanter,,,1,,"F-Pn fr. 1581, fol. 50 va (L)",Dame]dame; servir]sieruir; tout]tout; vivant]viuant.,dame a vous sieruir m'otroi tout mon viuant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,,,2,1_files/image1312.png,"F-Pn fr. 25566, fol. 168 rb (V)",,dame a vous seruir m'otroi tout mon viuant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter,,,3,1_files/image1314.png,"F-Pn fr. 1593, fol. 51 (52) va (F)",,dame a vous seruir m'otroi tout mon viuant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B4,,,,,,,,,,,,,
396,,,,"Dame, bien me doveroie plaindre de vous par raixon: can de vous avoir soloie joie, or n'en ai se duel non.",1,lyrique (monodie),"Dame, bien me deveroie","RS: 1714   L: 265-395   MW: 1265, 2   ",,,1714,265-395,,,"1265, 2",,Initial,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 218 (230) vb",doveroie]doueroie.; plaindre]plaindre; vous]uous; par raixon]par raixon.; vous avoir]uous auoir; joie]ioie; non]non.,,,,,,,,,,,,Dame bien me doueroie. plaindre de uous par raixon. can de uous auoir soloie ioie or n'en ai se duel non.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7A'7B7,,,,,,,,,,,,,
397,,,,"Dame, bien sai ne sai quoi me tormente, dirai le vous por avoir garison.",1,littéraire,"Salut d'amour   « Bele, salus vous mande… » v. 89-90",Mi xiiie   ,Mi xiiie   ,,,,,,,,,Salut d'amour,?,,,,,L'auteur,La dame,Conclusion de la st. 15,Discours amoureux,,,,1,,"F-Pn fr. 837, fol. 270 rb",Dame bien]dame bien; tormente]tormente.; vous]vous; avoir]auoir,dame bien sai ne sai quoi me tormente. dirai le vous por auoir garison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'10B10,,,,,,,,,,,,,
398,,,,"Dame, boin grei vos savroie, se vostre bouche riant daignoit touchier a la moie.",1,lyrique (monodie),"Dame, bon gré vous   savroie","RS: 1761   L: 265-396   MW: 687, 1   ",,,1761,265-396,,,"687, 1",,Initial,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 226 (237) rb",vos savroie]uos sauroie; vostre]uostre; daignoit]doignest; la]lai,,,,,,,,,,,,Dame boin grei uos sauroie se uostre bouche riant doignest touchier a lai moie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7A'7,,,,,,,,,,,,,
,,,,,2,lyrique (monodie),Amors qui mait en la   voie,"RS: 1773   L: 265-396   MW: 687, 1   ",,,1773,265-396,,,"687, 1",,Fin de strophe,Ballette à refrain (3 st.),?,,,,,L'auteur,La dame,,,Chanter,,Dire,1,,"GB-Ob Douce 308, fol. 211 (223) rb",Dame]dame; vos savroie]uos sauroie.; vostre]uostre; riant]riant.; moie]moie.,,,,,,,,,,,,,,,,dame boin grei uos sauroie. se uostre bouche riant. daignoit touchier a la moie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7A'7,Refrains st. II-III: manquants,,,,,,,,,,,,
,,,,,3,lyrique (monodie),"Belle, com loiaus amans","L: 162-8   MW: 929, 1   ",,,,162-8,,,"929, 1",,Fin de strophe,Ballade (3 st.),Jeannot de Lescurel,,,,,,,,,,,,1,1_files/image1316.png,"F-Pn fr. 146, fol. 58 rc",Dame]dame st. II; boin]bon st. II; grei]gré st. II; vous]uous st. II; savroie]saroie st. II; vostre]uostre st. II; bouche]boche st. II; touchier]toucher st. II; moie]moie. st. II,,,,,,,,,,,,,,,,dame bon gré uous saroie se uoustre bouche riant daignoit toucher a la moie.,,,dame bon gré uous saroie se uostre boche riant daignoit toucher a la moie.,,,dame bon gré. et cetera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7A'7,,,,,,,,,,,,,
399,,,,"Dame bone et saige, avrai je secors?",1,lyrique (monodie),Dame bone et saige,"vdB: Rond. 137   RS: 38a   L: 265-398   MW: 181, 163   ",,137,38a,265-398,,,"181, 163",,,Rondeau,?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 249 (262) ra",Dame]dame refrain 2; avrai je secors]aurai ie secors.,,,Dame bone et saige aurai ie secors.,dame bone et saige aurai ie secors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5B5,,,,,,,,,,,,,
400,,,,"Dame, com fins amans vous pri: aligiez moy ma dolour.",1,lyrique (monodie),Quant voi la douce saison,"RS: 1895 IV   L: 265-1490   T: 1083   MW: 808, 1   ",,,1895 IV,265-1490,1083,,"808, 1",,Fin de strophe,Chanson avec des refrains,?,,,,,,,,,,,,1,,"F-Pn fr. 1591, fol. 107 v",,dame com fins amans vous pri. aligiez moy ma dolour.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B7,,,,,,,,,,,,,
401,,,,"Dame, cui je ne puis vëoir, toz suix vostre sans desevoir.",1,lyrique (monodie),Dame cui je ne puis vëoir,"vdB: Rond. 135   L: 265-403   MW: 382, 2   ",,135,,265-403,,,"382, 2",,,Rondeau,?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 249 (262) ra",Dame]dame refrain 2; je]ie; vëoir]ueoir.; suix]suis refrain 2; vostre]uostre; desevoir]deseuoir.,,,Dame cui ie ne puix ueoir. toz suis uostre sans deseuoir.,dame cui ie ne puis ueoir. toz suis uostre sans deseuoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
402,,,,"Dame, cui je n'oz nomeir, de vos vient ma joie.",1,lyrique (monodie),"Dame, cui je n'os nommer","RS: 877   L: 265-402   MW: 632, 4   ",,,877,265-402,,,"632, 4",,Initial,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 222 (f) rb",je]ie; vos vient me joie]vos uient me ioie.,,,,,,,,,,,,Dame cui ie n'os nomeir de vos uient me ioie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B'5,,,,,,,,,,,,,
403,,,,"Dame, cui vuel obeir, doigneis, si ne vos anoie, ma complainte oir.",1,lyrique (monodie),"Dame, cui veul obeir","RS: 1435   L: 265-104   MW: 606, 1   ",,,1435,265-104,,,"606, 1",,Fin de strophe,Ballette à refrain (2 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 217 (229) ra",vuel]uuel st. I; obeir]obeir. st; I; vos anoie]uos a noie. st. I; complainte]conplainte st. I; oïr]oïr. st. I,,,,,,,,,,,,Dame cui uuel obeir. doigneis se ne uos a noie. ma conplainte oïr.,,,,Dame cui uuel.,,,dame cui.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B'7A5,,,,,,,,,,,,,
404,,,,"Dame debonaire, je me rans a vos; de cuer sanz meffaire je sui vostres tous.",1,lyrique (monodie),Dame debonaire,"vdB: Rond. 129   L: 265-405   MW: 698, 9   ",,129,,265-405,,,"698, 9",,,Rondeau,?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 248 (261) va","Dame]dame refrain 2; je]ie; vos]uos. refrain 1, uos refrain 2; sanz]sanz refrain 1, sans refrain 2; meffaire]retraire refrain 2; je sui]ie suis; vostres]uostres refrain 1, uostre refrain 2; tous]tous. refrain 1, toz. refrain 2",,,Dame debonaire ie me rans a uos. de cuer sanz meffaire ie suis uostres tous.,dame debonaire ie me rans a uos de cuer sanzs retraire ie suis uostre toz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5B5A'5B5,,,,,,,,,,,,,
405,,,,"Dame de fin cuer amee, merci!",1,littéraire,"Salut d'amour   « Bele, salus vous mande… » v. 5",Mi xiiie   ,Mi xiiie   ,,,,,,,,,Salut d'amour,?,,,,,L'auteur,La dame,Conclusion de la st. 1,Prière,,,,1,,"F-Pn fr. 837, fol. 269 va",Dame]bele,bele de fin cuer amee merci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,2,lyrique (monodie),Dame ains que je voise en ma contree,"RS: 503 IV   L: 185-7   T: 292   MW: 193, 1   ",,,503 IV,185-7,292,,"193, 1",,Fin de strophe,Chanson avec des refrains,Moniot d'Arras,,,,,,,,,,,,1,1_files/image1318.png,"F-Pn fr. 844, fol. 120 (112) vb",,dame de fin cuer amee: merci.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"F-Pn fr. 12615, fol. 120 r",Dame]dame; merci]merchi.,dame de fin cuer amee merchi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,3,lyrique (polyphonie),Trop m'a Amours   assailli   (fin) / In seculum,"Lu: 144 / M13   T: 200-1   L: 265-1701   MW: 639, 1   ",,,,265-1701,,200-1,"639, 1",144 / M13,Final,Motet,?,,,,,,,,,,,,1,1_files/image1320.png,"F-Pn lat. 15139, fol. 288 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,L'auteur,La dame,,,,,Dire,2,1_files/image1322.png,"D-W Cod. Guelf. 1099 Helmst., fol. 248 r",,dame de fin cuer amee merci.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dire,3,1_files/image1324.png,"F-Pn fr. 12615, fol. 194 v",,dame de fin cuer amee merchi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dire,4,1_files/image1326.png,"F-MO H 196, fol. 253 v",,dame de fin cuer amee merci.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,4,lyrique (polyphonie),Petro linis oculum (fin) / In seculum,Lu: 145 / M13   T: 200-2   ,,,,,,200-2,,145 / M13,Final,Motet,?,,,,,,,,,,,,1,1_files/image1328.png,"D-W Cod. Guelf. 1099 Helmst., fol. 184 v",,uite fac me tuum in seculum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
406,,,,"Dame de grant biauté parfaite, je vous aime parfaitement.",1,littéraire,"Fatras I   v. 288-289, puis 290 (v. a) et 300 (v. b)",Ca 1319-1322 ou 1328-1329   ,Ca 1319-1322 ou 1328-1329,,,,,,,,,Fatras,Watriquet de Couvin,,,,,Raimondin,,,,,,,1,,"F-Pn fr. 14968, fol. 167 r",Dame]dame v. 288; parfaite]parfaite v. 290; je]je,,,dame de grant biauté parfaite je vous aime parfaitement,Dame de grant biauté parfaite je vous aime parfaitement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B8,,,,,,,,,,,,,
407,,,,Dame d'onour m'ait an voie mis de bien ameir.,1,lyrique (monodie),Dame d'onour m'a en voie,"RS: 1770   L: 265-408   MW: 181, 22   ",,,1770,265-408,,,"181, 22",,Initial / Fin de strophe,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 226 (237) va",voie]uoie; ameir]ameir.,,,,,,,,,,,,Dame d'onour m'ait an uoie mis de bien ameir.,,,,,,,,,,dame d'onour m'ait en voie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B5,Refrain st. II: manquant,,,,,,,,,,,,
408,,,,"Dame d'onor, qui valeis tant, car deveneis m'amie, je vos servirai loialment.",1,lyrique (monodie),"Dame, d'onour qui valés tant","RS: 362   L: 265-409   MW: 682, 1   ",,,362,265-409,,,"682, 1",,Initial / Fin de strophe,Ballette à refrain (4 st. et un envoi),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 220 (232) vb",valeis tant]ualeis tant.; deveneis m'amie]deueneis m'amie.; je vos servirai loialment]ie uos seruirai loialment.,,,,,,,,,,,,Dame d'onor qui ualeis tant. car deueneis m'amie. ie uos seruirai loialment.,,,,dame.,,,dame.,,,dame.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dame. d'onor ki ualeis tant.,,A8B'6A8,Refrain st. IV: manquant,,,,,,,,,,,,
409,,,,Dame en foi amee.,1,lyrique (monodie),Puis qu'Amours me fait amer,"RS: 765   L: 265-1389   T: 447   MW: 1062, 1   ",,,765,265-1389,447,,"1062, 1",,Fin de strophe,Chanson à refrain (3 st.),?,,,,,,,,,,,,1,1_files/image1330.png,"F-Pn fr. 24406, fol. 98 vb",Dame]dame; amee]amee.,,,,,,,,,,,,,,,,dame en foi amee.,,,dame en foi amee.,,,dame en foi amee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5,,,,,,,,,,,,,
410,,,,"Dame, envers ton fil car fai ma pais, ou dampnés serai.",1,lyrique (polyphonie),"Douce dame par amour (fin) / Quant voi l'erbe reverdir / Salve,   virgo virginum / Cumque","Lu: 711 / 712 / 713 / O31   RS: 2029a   L: 265-551   MW: 1158, 1   ",,,2029a,265-551,,,"1158, 1",711 / 712 / 713 / O31,Final,Motet,?,,,,,,,,,,,,1,1_files/image1332.png,"F-MO H 196, fol. 191 v (711 / 712 / O31)",,dame enuers ton fil car fai. ma pais ou dampnés serai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image1334.png,"D-BAs Lit. 115, fol. 53 ra (711 / 713 / O31)",,dame enuers ton fis car fai ma pais ou dampnés serai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_files/image1336.png,D-DS 3471 n° 10 (711 / 713 / O31) (lacunaire),,dame enuers ton fil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"I-Rvat Reg. lat. 1490, fol. 127 (144) vb (711 / O31)",Dame]dame; envers]vers; car]tous; fai]fais; ou]v; dampnés]damnés,dame vers ton fil tous fais ma pais v damnés serai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
411,,  Multiple T Indexes    Multiple T Indexes  ,,"Dame, ert il toz jors ainsi que j'amerai sanz guerredon?",1,littéraire,"Dame, ert il toz jors ainsi","vdB: Rond. 38   L: 265-410   MW: 181, 26   ",,38,,265-410,,,"181, 26",,,Rondeau,?,Salut d'amour   « Celui qu'Amors conduit et maine… » v. 176-183,Mi xiiie,Salut d'amour,?,L'auteur,La dame,Conclusion de la st. 10,Prière,,,,1,,"F-Pn fr. 837, fol. 254 vb",Dame]dame; jors]iors refrain 1; ainsi]issi; que]que; jamerai]i'amerai; guerredon]guerredon refrain 2,,,dame ert il toz iors issi que i'amerai sanz guerredon,dame ert il toz jors issi que i'amerai sanz guerredon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,2,lyrique (polyphonie),Se j'ai servi longuement / Trop longuement m'a failli (fin) /   Regis   veri regia (fin) / Fons   misericordie / In celesti curia (fin) / Pro patribus,"Lu: 396 / 397 / 398 / 399 / 400 / M30   T: 133-1   T: 133-2   T: 133-2a   L: 265-1588   MW: 413, 1   ",,,,265-1588,,133-1 / 133-2 / 133-2a,"413, 1",396 / 397 / 398 / 399 / 400 / M30,Final,Motet,?,,,,,,,,,,,,1,1_files/image1338.png,"I-Fl Plut. 29. 1, fol. 164 v (396 / 398 / M30)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,L'auteur,La dame,,,Chanson,,Dire,2,1_files/image1340.png,"F-Pn nouv. acq. fr. 13521, fol. 374 v (396 / 397 / M30)",,dame iert il einsi tout iourz que i'amerai sanz guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,3,1_files/image1342.png,"B-LEu sans cote, n° 9 (397 / M30)",,dame ert il adés ensi que i'amerai sans guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1_files/image1344.png,"D-W Cod. Guelf. 1099 Helmst., fol. 176 r (398 / M30)",,ortus est qui gaudia sue dedit eclesie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,5,1_files/image1346.png,"D-W Cod. Guelf. 1099 Helmst., fol. 200 r (396 / 397 / M30)",,dame ert il issi toz iorz qe i'amerai sanz guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,6,1_files/image1348.png,"F-Pn fr. 844, fol. 205 (197) rb (397 / M30)",,dame iert il toz iors ensi que i'amerai sanz guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,7,1_files/image1350.png,"F-Pn fr. 12615, fol. 179 v (397 / M30)",,dame iert il ensi tous iors ke ia n'amerai sans guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1_files/image1352.png,"F-MO H 196, fol. 99 r (399 / 400 / M30)",,ortus est qui gaudia mun da ne dat miserie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,9,1_files/image1354.png,"F-MO H 196, fol. 128 r (396 / 397 / M30)",,dame iert il toz ior ainsi que i'amerai sans guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,10,1_files/image1356.png,"D-BAs Lit. 115, fol. 56 rb (396 / 397 / M30)",,dame iert il tous iour enssi que i'amerai sans guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,11,1_files/image1358.png,"F-Pn lat. 11266, fol. 39 rb (396 / 397 / M30)",,dame ert il touz iorz ensi que i'amerai sanz guerredon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanson,,Dire,12,,"GB-Ob Douce 308, fol. 243 (256) va (397 / M30)",,dame iert il tous iors ansi. ke i'amerai sans gueridon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1_files/image1360.png,D-DS 3471 n° 5 (399 / 400 / M30),,ortus est qui gaudium mundane dat miserie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B8,,,,,,,,,,,,,
412,,,,"Dame et amours, je vous pri mierci de cuer souspirant.",1,littéraire,Renart le Nouvel   v. 6718,Ca 1289   ,Ca 1289,,,,,,,,,Roman,Jaquemart Gielée,,,,,Renart,Orgueilleuse la reine,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Prendre à chanter; chant,,,1,,"F-Pn fr. 1581, fol. 48 rb (L)",Dame]dame; et]et; je]ie; mierci]merci,dame et amours ie vous pri merci de cuer souspirant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"F-Pn fr. 372, fol. 50 va (C; ajout marginal postérieur)",amours]amours; mierci]merci; souspirant]soupirant,Dame et amours je vous pri merci de cuer soupirant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B7,,,,,,,,,,,,,
