Ref Number,NOTE FROM ANNE,NOTE FROM ADAM,Linker Number,Abstract Master Text,Occurance Number,Occurance Type,Parent Work,Parent Index Blob,Parent Date,Parent vdB Index (rondeaux),Parent RS Index,Parent L Index,Parent T Index (songs),Parent T Index (motets),Parent MW Index,Parent Lu Index,Refrain Location,Parent Generic Descriptor,Parent Work Author,Host Work,Host Work Date,Host Work Generic Descriptor,Host Work Author,Singer,Destinataire,Circonstances,Fonction,Marque de chant précédant le refrain,Marque de chant suivant le refrain,Marque de discours,Manuscript Number,Image File,Manuscript Collocation,Reading,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain motetus),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1; refrain interne 2),Derived Reading Text (st. 1; refrain final),Derived Reading Text (st. 2; refrain interne),Derived Reading Text (st. 2; refrain interne 2),Derived Reading Text (st. 2; refrain final),Derived Reading Text (st. 3; refrain interne),Derived Reading Text (st. 3; refrain interne 2),Derived Reading Text (st. 3; refrain final),Derived Reading Text (st. 4; refrain interne),Derived Reading Text (st. 4; refrain interne 2),Derived Reading Text (st. 4; refrain final),Derived Reading Text (st. 5; refrain interne),Derived Reading Text (st. 5; refrain interne 2),Derived Reading Text (st. 5; refrain final),Derived Reading Text (st. 6; refrain interne),Derived Reading Text (st. 6; refrain interne 2),Derived Reading Text (st. 6; refrain final),Derived Reading Text (st. 7; refrain interne),Derived Reading Text (st. 7; refrain interne 2),Derived Reading Text (st. 7; refrain final),Derived Reading Text (st. 8; refrain interne),Derived Reading Text (st. 8; refrain interne 2),Derived Reading Text (st. 8; refrain final),Derived Reading Text (st. 9; refrain interne),Derived Reading Text (st. 9; refrain interne 2),Derived Reading Text (st. 9; refrain final),Derived Reading Text (st. 10; refrain final),Derived Reading Text (st. 11; refrain final),Derived Reading Text (st. 12; refrain final),Derived Reading Text (st. 13; refrain final),Derived Reading Text (st. 14; refrain final),Derived Reading Text (st. 15; refrain final),Derived Reading Text (st. 16; refrain final),Derived Reading Text (st. 17; refrain final),Derived Reading Text (st. 18; refrain final),Derived Reading Text (st. 19; refrain final),Derived Reading Text (st. 20; refrain final),Derived Reading Text (st. 21; refrain final),Derived Reading Text (st. 22; refrain final),Derived Reading Text (st. 23; refrain final),Derived Reading Text (st. 24; refrain final),Derived Reading Text (st. 25; refrain final),Derived Reading Text (Envoi 1; refrain final),Derived Reading Text (Envoi 2; refrain final),Métrique,Other Manuscript Data,,,,,,,,,,,,
5,,,,A cuer me tient.,1,lyrique (monodie),Bele Aelis,"RS: 1508a IV   L: 265-11   MW: 1189, 2   ",,,1508a IV,265-11,,,"1189, 2",,Fin de strophe,Chanson avec des refrains,?,,,,,,,,,,,,1,,"CH-BEb 389, fol. 32 v",A]a; tient]tient.,a cuer me tient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A4,,,,,,,,,,,,,
6,,,,"A cuer plain de joie, tout a son talent, servirai m'amie.",1,littéraire,Prison v. 1733-1735,1240-1280   ,1250-1280   ,,,,,,,,,Dit allégorique,Baudouin de Condé,,,,,l'auteur,Le lecteur,L'auteur décide de servir sa dame,Commentaire,,,,1,,"A-Wn 2621, fol. 34 va (A)",joie]ioie; servirai]seruirai,A cuer plain de ioie tout a son talent seruirai m'amie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5B5C'5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,[I-Tn L. V. 32 (C)],,A cuer plain de ioie tout a son talent seruirai ma vie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5B5C'5,,,,,,,,,,,,,
7,,,,"A(n) dame plaixans d'onor, novellement, me suix doneis sans retour, outreement.",1,lyrique (monodie),En dame plaisant d'onour,"RS: 2001   L: 265-609   MW: 1271, 1   ",,,2001,265-609,,,"1271, 1",,Initial,Ballette à refrain (3 st.),?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 218 (230) va",A(n)]An; d'onor]d'onor.; novellement]nouellement.; retour]retour.; outreement]outreement.,,,,,,,,,,,,An dame plaixans d'onor. nouellement. me suix doneis sans retour. outreement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B4A7B4,Refrain liminaire uniquement,,,,,,,,,,,,
8,,,,"Adés, adés servirai bone amor, tant com vivrai.",1,lyrique (monodie),Chançon faz non pas vilaine,"RS: 145 II   L: 202-2   T: 85   MW: 851, 8   ",,,145 II,202-2,85,,"851, 8",,Fin de strophe,Chanson avec des refrains,Pierrequin de la   Coupelle,,,,,,,,,,,,1,1_files/image008.png,"F-Pn fr. 844, fol. 163 (148) ra",,Adés adés seruirai. bone amor tant com viurai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image010.png,"F-Pn fr. 12615, fol. 126 r",USERPROPERTY\* MERGEFORMAT,Adés adés seruirai boine amor tant com viurai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
9,,,,Adés desir a vëoir cele qui me fet doloir.,1,lyrique (monodie),Je ne sai tant merci crier,"RS: 839 III   L: 41-6   T: 501   MW: 889, 4   ",,,839 III,41-6,501,,"889, 4",,Fin de strophe,Chanson avec des refrains,Colard le Bouteiller,,,,,,,,,,,,1,1_files/image012.png,"F-Pn fr. 844, fol. 127 (133) rb",,Adés desir a veoir. cele qui me fet doloir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image014.png,"F-Pn fr. 12615, fol. 24 r",,Adés desir a veoir. celi ki me fait doloir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"I-Rvat Reg. lat. 1490, fol. 73 (81) va",Adés]adés; vëoir]vëoir.; cele]cheli; qui]qi; fet doloir]fait doloir.,adés desir a vëoir. cheli qi me fait doloir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,,,,,,,,,
10,,,,Adés sont ces sades brunetes les plus jolietes.,1,littéraire,Renart le Nouvel   v. 6880,Ca 1289   ,Ca 1289,,,,,,,,,Roman,Jaquemart Gielée,,,,,Brune la femme de l'ours,Brun l'ours,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Chanter; chant,,,1,,"F-Pn fr. 1581, fol. 50 ra (L)",Adés]adiés; ces]les; jolietes]iolietes,Adiés sont les sades brunetes les plus iolietes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,,,,,,,,,,,,,
