Ref Number,Instance Number,Linker Number,Abstract Master Text,Occurance Number,Parent Work (ID),Parent Work (Instance),Parent Work (Location),Refrain Location,Host Work,Singer,Destinataire,Circonstances,Fonction,Preceding,Succeeding,Manuscript Number,Image File,Manuscript Collocation,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain duplum),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain enté),Derived Reading Text (st. 1; refrain initial),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1 ; refrain interne 2),Derived Reading Text (st. 1 ; refrain final),Derived Reading Text (st. 2 ; refrain enté),Derived Reading Text (st. 2 ; refrain initial),Derived Reading Text (st. 2 ; refrain interne),Derived Reading Text (st. 2 ; refrain interne 2),Derived Reading Text (st. 2 ; refrain final),Derived Reading Text (st. 3 ; refrain initial),Derived Reading Text (st. 3 ; refrain interne),Derived Reading Text (st. 3 ; refrain interne 2),Derived Reading Text (st. 3 ; refrain final),Derived Reading Text (st. 4 ; refrain initial),Derived Reading Text (st. 4 ; refrain interne),Derived Reading Text (st. 4 ; refrain interne 2),Derived Reading Text (st. 4 ; refrain final),Derived Reading Text (st. 5 ; refrain initial),Derived Reading Text (st. 5 ; refrain interne),Derived Reading Text (st. 5 ; refrain interne 2),Derived Reading Text (st. 5 ; refrain final),Derived Reading Text (st. 6 ; refrain initial),Derived Reading Text (st. 6 ; refrain interne),Derived Reading Text (st. 6 ; refrain interne 2),Derived Reading Text (st. 6 ; refrain final),Derived Reading Text (st. 7 ; refrain initial),Derived Reading Text (st. 7 ; refrain interne),Derived Reading Text (st. 7 ; refrain interne 2),Derived Reading Text (st. 7 ; refrain final),Derived Reading Text (st. 8 ; refrain initial),Derived Reading Text (st. 8 ; refrain interne),Derived Reading Text (st. 8 ; refrain interne 2),Derived Reading Text (st. 8 ; refrain final),Derived Reading Text (st. 9 ; refrain initial),Derived Reading Text (st. 9 ; refrain interne),Derived Reading Text (st. 9 ; refrain interne 2),Derived Reading Text (st. 9 ; refrain final),Derived Reading Text (st. 10 ; refrain initial),Derived Reading Text (st. 10 ; refrain final),Derived Reading Text (st. 11 ; refrain final),Derived Reading Text (st. 12 ; refrain final),Derived Reading Text (st. 13 ; refrain final),Derived Reading Text (st. 14 ; refrain final),Derived Reading Text (st. 15 ; refrain final),Derived Reading Text (st. 16 ; refrain final),Derived Reading Text (st. 17 ; refrain final),Derived Reading Text (st. 18 ; refrain final),Derived Reading Text (st. 19 ; refrain final),Derived Reading Text (st. 20 ; refrain final),Derived Reading Text (st. 21 ; refrain final),Derived Reading Text (st. 22 ; refrain final),Derived Reading Text (st. 23 ; refrain final),Derived Reading Text (st. 24 ; refrain final),Derived Reading Text (st. 25 ; refrain final),Derived Reading Text (envoi I ; refrain interne),Derived Reading Text (envoi I ; refrain final),Derived Reading Text (envoi II ; refrain initial),Derived Reading Text (envoi II ; refrain final),Métrique,Musical structure,Other Refrain data,Other Manuscript Data,Derived Reading Text (Refrain 1 ; Fatras),Derived Reading Text (Refrain 2 ; Fatras)
1,1,,A bonne amour sui donnee mon vivant pour miex valoir.,1,N 27,1,v. 40,,,Watriquet,Raimondin,,,,,1,,"F-Pn fr. 14968, fol. 162 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7,,,,a bo{n}ne amour sui donnee mon viuant pour miex valoir,A bo{n}ne amour sui donnee mon viuant pour miex valoir
2,1,,A boine dame loiaus sui donnés.,1,N 48,2,v. 6748,,,Renart,Hersent la louve,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Dire en chantant ; Écouter,Entendre,1,vdB 2V,"F-Pn fr. 25566, fol. 166 ra",A boine dame loiaus sui do{n}nés.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,A,,,,
2,2,,A boine dame loiaus sui donnés.,1,N 48,3,v. 6748,,,Renart,Hersent la louve,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Dire en chantant ; Écouter,Entendre,2,vdB 2F,"F-Pn fr. 1593, fol. 49 (50) rb",A bone dame loiaus sui donnez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,A,,,,
3,1,,A celi que je n'os nommer.,1,N 22,1,v. 244,,,La dame,,Description de ses tourments amoureux,Commentaire,,,1,vdB 3,"F-Pn fr. 146, fol. 61 ra",A celi que ie n'os nommer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8,A,,,,
4,1,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",1,N 9,1,v. 165,,,La châtelaine,Son ami,Conclusion de la st. XIX (arrivée de l'ami de la châtelaine),Discours amoureux,Chanter,,1,,"F-Pn fr. 837, fol. 115 rb",acolez moi {et} besiez doucement q{ua}r li maus d'amer me tient jolieme{n}t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,2,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,1,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,1,,"F-Pn fr. 1633, fol. 39 rb",<A>colés moi et besiés doucement car li maus d'amer me Tient ioliement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,3,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,2,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,2,,"F-Pn fr. 1589, fol. 39 va",<A>colés moi et baisiés doucement Car li maus d'amer me tient joliement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,4,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,3,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,3,,"I-Fr 2757, fol. 40 vb",<A>colez moi et beisiez doucement. car li maus d'amer me tient joliement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,5,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,4,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,4,,"F-Pn fr. 1455, fol. 33 va",<A>colez moi {et} baisiez doucem{en}t Q{ua}r li maus d'am{er} mi tie{n}t ioliem{en}t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A11,,,,,
4,6,,"Acolez moi et baisiez doucement, car li maus d'amer mi tient joliement.",2,M 1139b,5,,Enté,N 38,Meliacin,Celinde,Voyage à Savernon,Discours amoureux,Chanter ; Redire,Chanter,5,,"B-Br IV 319, fol. 34 vb",<A>Colés moi {et} besiés doucem{en}t Car li Maus d'amer me tie{n}t iolietem{en}t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10A12,,,,,
5,1,,A cuer me tient.,1,C 1508a,1,st. IV,Fin de strophe,,L'auteur,Aelis,,,Dire,,1,,"CH-BEb 389, fol. 33 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a cuer me tient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A4,,,,,
6,1,,"A cuer plain de joie, tout a son talent, servirai m'amie.",1,N 45,1,v. 1733,,,L'auteur,Le lecteur,L'auteur décide de servir sa dame,Commentaire,,,1,,"A-Wn 2621, fol. 34 va",<A> cuer plain de ioie tout a son talent seruirai m'amie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5B5C'5,,,,,
6,2,,"A cuer plain de joie, tout a son talent, servirai m'amie.",1,N 45,2,v. 1733,,,L'auteur,Le lecteur,L'auteur décide de servir sa dame,Commentaire,,,2,,[I-Tn L. V. 32],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'5B5C'5,,,,,
7,1,,"A(n) dame plaixans d'onor, novellement, me suix doneis sans retour, outreement.",1,C 2001,1,,Initial,,,,,,,,1,,"GB-Ob Douce 308, fol. 218 (230) va",,,,,,,,,,,,<A>n dame plaixans d'onor. nouellement. me suix doneis sans retour. outreement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7B4A7B4,,,,,
8,1,,"Adés, adés servirai bone amor, tant com vivrai.",1,C 145,1,st. II,Fin de strophe,,,,,,,,1,vdB 8M,"F-Pn fr. 844, fol. 163 rb",,,,,,,,,,,,,,,,,,,,,,,Adés adés seruirai. bone amor tant {com} viu{ra}i.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,AB,,,,
8,2,,"Adés, adés servirai bone amor, tant com vivrai.",1,C 145,2,st. II,Fin de strophe,,,,,,,,2,vdB 8T,"F-Pn fr. 12615, fol. 126 v",,,,,,,,,,,,,,,,,,,,,,,Adés adés seruirai boine amor tant com viurai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,AB,,,,
9,1,,Adés desir a vëoir cele qui me fet doloir.,1,C 839,1,st. III,Fin de strophe,,,,,,,,1,vdB 9M,"F-Pn fr. 844, fol. 127 va",,,,,,,,,,,,,,,,,,,,,,,,,,,Adés desir a veoir. cele qui me fet doloir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,AA',,,,
9,2,,Adés desir a vëoir cele qui me fet doloir.,1,C 839,2,st. III,Fin de strophe,,,,,,,,2,vdB 9T,"F-Pn fr. 12615, fol. 24 v",,,,,,,,,,,,,,,,,,,,,,,,,,,Adés desir a veoir. celi ki me fait doloir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,AA',,,,
9,3,,Adés desir a vëoir cele qui me fet doloir.,1,C 839,3,st. III,Fin de strophe,,,,,,,,3,,"I-Rvat Reg. lat. 1490, fol. 74 (82) ra",,,,,,,,,,,,,,,,,,,,,,,,,,,adés desir a veoir. cheli qi me fait doloir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,,,,,
10,1,,Adés sont ces sades brunetes les plus jolietes.,1,N 48,1,v. 6880,,,Brune la femme de l'ours,Brun l'ours,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Chanter ; Chant,,1,,"F-Pn fr. 1581, fol. 50 ra",Adiés sont les sades brunetes les plus iolietes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,,,,,
10,2,,Adés sont ces sades brunetes les plus jolietes.,1,N 48,2,v. 6880,,,Brune la femme de l'ours,Brun l'ours,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Chanter ; Chant,,2,vdB 10V,"F-Pn fr. 25566, fol. 167 vb",Adés sont ces sades brunetes les plus iolietes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,AA',,,,
10,3,,Adés sont ces sades brunetes les plus jolietes.,1,N 48,3,v. 6880,,,Brune la femme de l'ours,Brun l'ours,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Chanter ; Chant,,3,vdB 10F,"F-Pn fr. 1593, fol. 51 (52) ra",Adés sont trés sades bruneites les plus iolietes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,AB,,,,
10,4,,Adés sont ces sades brunetes les plus jolietes.,1,N 48,4,v. 6880,,,Brune la femme de l'ours,Brun l'ours,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Chanter ; Chant,,4,vdB 10C,"F-Pn fr. 372, fol. 52 vb",adés sont ces sades brunetes les plus iolietes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,AB,,,,
10,5,,Adés sont ces sades brunetes les plus jolietes.,2,M 621,1,,Enté interne,Li 265-537,,,,,,,1,vdB 10Mo,"F-MO H 196, fol. 335 (333) rb",<A>diés s{un}t ces sades brunetes les pl{us} iolietes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,AA',,,,
11,1,,"Adeviner porés cui j'aimme, par moi ne le sarés vous ja.",1,N 71,1,v. 3665,,,Gerart,Flourentine,Après avoir bu le philtre d'amour,Discours,Commencer à chanter,Chanter,1,,"F-Pn fr. 1374, fol. 155 ra",[<D>]euiner poez cui i'aime més uous nel saurez p{ar} moi ia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B8,,,,,
11,2,,"Adeviner porés cui j'aimme, par moi ne le sarés vous ja.",1,N 71,2,v. 3665,,,Gerart,Flourentine,Après avoir bu le philtre d'amour,Discours,Commencer à chanter,Chanter,2,,"F-Pn fr. 1553, fol. 306 va",<A>deuiner porés cui i'ai{n}me par moi ne le sarés vous ja.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B8,,,,,
11,3,,"Adeviner porés cui j'aimme, par moi ne le sarés vous ja.",1,N 71,3,v. 3665,,,Gerart,Flourentine,Après avoir bu le philtre d'amour,Discours,Commencer à chanter,Chanter,3,,"RUS-SPsc fr. 4° v. XIV. 3, fol. 26 ra",Deuiner pourez cui i'ayme Par moy ne saurez ia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B6,,,,,
11,4,,"Adeviner porés cui j'aimme, par moi ne le sarés vous ja.",1,N 71,4,v. 3665,,,Gerart,Flourentine,Après avoir bu le philtre d'amour,Discours,Commencer à chanter,Chanter,4,,"US-NYpm 36, fol. 65 v",ADEVINEZ pouez qui j'ayme Mais par moy ne le saurés ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B8,,,,,
12,1,,"A Dieu commant amouretes, car je m'en vois souspirant en terre estrange.",1,R 73,1,,,,,,,,,,1,vdB 12rond,"F-Pn fr. 25566, fol. 33 rb",,,<A> Dieu {con}mant amouretes car ie m'en uois souspira{n}t en t{er}re estrange.,A dieu {con}mant amouretes car ie m'en uois. {e}t {cetera}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B4C'7,ABA',,,,
12,2,,"A Dieu commant amouretes, car je m'en vois souspirant en terre estrange.",2,M 835,1,,Enté,Li 2-54,,,,,,,1,vdB 12Lu835Mo,"F-MO H 196, fol. 288 rb",<A> Dieu quema{n}t am{our}etes car m'en vois souspira{n}t en t{er}re estrange.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B3C'7,ABA',,,,
12,3,,"A Dieu commant amouretes, car je m'en vois souspirant en terre estrange.",2,M 835,2,,Enté,Li 2-54,,,,,,,2,vdB 12Lu835Ha,"F-Pn fr. 25566, fol. 34 vb",<A> Dieu commant amouretes. car ie m'en uois. souspirant en terre estrange.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B4C'7,ABA',,,,
13,1,,"A Dieu conmant je mes amors, qu'il les me gart.",1,N 53,1,v. 99,,,L'auteur,La dame,Conclusion du salut,Discours narratif,,,1,,"F-Pn fr. 837, fol. 216 rb",a dieu {con}mant je mes amors q{ui} le mes gart {et} nuit {et} iors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,
13,2,,"A Dieu conmant je mes amors, qu'il les me gart.",2,C 227,1,st. IV,Fin de strophe,,L'auteur,,,,Chanter ; Chanson,,1,,"F-Pa 5198, p. 312 b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A dieu conmant ie mes amors q'il les me gart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,3,,"A Dieu conmant je mes amors, qu'il les me gart.",2,C 227,2,st. IV,Fin de strophe,,L'auteur,,,,Chanter ; Chanson,,2,,"F-Pn fr. 845, fol. 149 rb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a deu {con}mant je mes amors qui: les me gart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,4,,"A Dieu conmant je mes amors, qu'il les me gart.",2,C 227,3,st. IV,Fin de strophe,,L'auteur,,,,Chanter ; Chanson,,3,,"F-Pn nouv. acq. fr. 1050, fol. 198 ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a dieu coma{n}t je mes amors qui les me gart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,5,,"A Dieu conmant je mes amors, qu'il les me gart.",2,C 227,4,st. IV,Fin de strophe,,L'auteur,,,,Chanter ; Chanson,,4,,"F-Pn fr. 847, fol. 164 ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a dieu {con}mant ie mes amors. qui les me gart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,6,,"A Dieu conmant je mes amors, qu'il les me gart.",3,C 1700,1,st. V,Fin de strophe,,,,,,,,1,,"F-Pn fr. 847, fol. 129 ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A dieu conmant ie mes amors q'il les me gart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,7,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,1,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,1,,"F-Pn fr. 20050, fol. 68 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A deu comanz ie mes amors q{ui} les me gart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,8,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,2,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,2,,"F-Pn fr. 12615, fol. 80 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A dieu comant iou mes amors ki les mes Gart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,9,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,3,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,3,,"[F-Pa 5198], p. 321 b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. et refrain manquants,,,
13,10,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,4,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,4,,"F-Pn fr. 845, fol. 153 vb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a deu {con}mant mes amors qui les me gart {et} li uilains soit penduz a vne hart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4B11,,,,,
13,11,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,5,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,5,,"[F-Pn fr. 847], fol. 169 rb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. et refrain manquants,,,
13,12,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,6,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,6,,"I-MOe {alpha} R. 4. 4 (est. 45), fol. 218 va",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A dé comant ie mes amors q'il les me gart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,13,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,7,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,7,,"CH-BEb 389, fol. 248 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a deu comanz ie mes amors ki les me gairt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,,,,,
13,14,,"A Dieu conmant je mes amors, qu'il les me gart.",4,C 1995,8,st. VI,Fin de strophe,,Un chevalier,,,,Dire,,8,,"[I-Rvat Reg. lat. 1490], fol. 109 (126) va",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refrain manquant,,,
13,15,,"A Dieu conmant je mes amors, qu'il les me gart.",5,M 673,1,,Final,Li 265-1411,,,,,,,1,vdB 13StV,"F-Pn lat. 15139, fol. 291 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB,,,,
13,16,,"A Dieu conmant je mes amors, qu'il les me gart.",5,M 673,2,,Final,Li 265-1411,L'auteur,,,,Dire,,2,vdB 13N,"F-Pn fr. 12615, fol. 196 r",A dieu comant ie mes amours ki les mes gart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B4,AB,,,,
14,1,,"A Dieu conmant vieses amours, nouvieles ai.",1,N 48,1,v. 6748,,,Renart,Hersent,Entrée à Passe-Orgueil (fête finale),Discours amoureux,Dire en chantant,Entendre,1,,"F-Pn fr. 1581, fol. 48 va",A dieu {con}ma{n}t vieses amours nouuieles ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A12,,,,,
14,2,,"A Dieu conmant vieses amours, nouvieles ai.",1,N 48,4,v. 6748,,,Renart,Hersent,Entrée à Passe-Orgueil (fête finale),Discours amoureux,,,2,,"F-Pn fr. 372, fol. 51 ra",A dieu {con}ma{n}t vieses amours nouveles ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A12,,Ajout marginal postérieur,,,
15,1,,"Adieu, ma dame de pris.",1,N 22,1,v. 30,,,L'auteur,,Description de ses tourments amoureux,Commentaire,,,1,vdB 15,"F-Pn fr. 146, fol. 60 ra",Adieu ma dame de pris.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7,A,,,,
16,1,,"A Diu vos comant, amie, en quel lieu que vous soiés.",1,M 181,1,,Final,Li 265-769,,,,,,,1,vdB 16,"F-MO H 196, fol. 149 r",a diu uos comant amie en quel lieu que vous soiés.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7,AA',,,,
17,1,,"A Diu voz comant. Pensés de moi, fins cuers et plesant.",1,M 279,1,,Final,Li 265-854,,,,,,,1,vdB 17Mo,"F-MO H 196, fol. 122 r",A diu voz comant pensés de moi fins cuers et plesant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5A9,AB,,,,
17,2,,"A Diu voz comant. Pensés de moi, fins cuers et plesant.",1,M 279,2,,Final,Li 265-854,,,,,,,2,vdB 17Cl,"F-Pn nouv. acq. fr. 13521, fol. 390 rb",a dieu uos comant pensez de moi fins cuers {et} plaisanz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5A9,AB,,,,
17,3,,"A Diu voz comant. Pensés de moi, fins cuers et plesant.",2,M 280,1,,Final,Li 265-1357,,,,,,,1,vdB 17Lu280,"D-BAs Lit. 115, fol. 43 vb",et reperitur in melius crescens nititur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5A9,AB,,,,
18,1,,"Aé, cuens Guis, amis! La vostre amors me tout solaz et ris.",1,C 594,1,,Fin de strophe,N 3,L'amie d'Alexandre,Aristote,Promenade dans le jardin,Discours amoureux,Chanter (chanson-hôte) ; Chanson de toile (chanson-hôte) ; Appeler (refrain),,1,,"F-Pn fr. 837, fol. 82 ra",ahi: quens guis la v{ost}re amor me tot solaz {et} ris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A4A10,,,,,
18,2,,"Aé, cuens Guis, amis! La vostre amors me tout solaz et ris.",1,C 594,2,,Fin de strophe,N 3,L'amie d'Alexandre,Aristote,Promenade dans le jardin,Discours amoureux,Chanter (chanson-hôte) ; Chanson de toile (chanson-hôte) ; Appeler (refrain),,2,,"F-Pn fr. 1593, fol. 155 (158) vb",Hé biau qu{en}s guiz la u{ost}re amours mi tout solaz {et} ris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A4A10,,,,,
18,3,,"Aé, cuens Guis, amis! La vostre amors me tout solaz et ris.",1,C 594,3,,Fin de strophe,N 3,L'amie d'Alexandre,Aristote,Promenade dans le jardin,Discours amoureux,Chanter (chanson-hôte) ; Chanson de toile (chanson-hôte) ; Appeler (refrain),,3,,"F-Pn nouv. acq. fr. 1104, fol. 71 va",hé: biaus quens Guis La u{ost}re amor me tout solaz {et} ris.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A4A10,,,,,
